	molecule_chembl_id	units	IC50	canonical_smiles	pIC50	mols
2125	CHEMBL1650436	nM	57.0	Cn1c(=O)c(Cl)c(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O	6.2441251443275085	<rdkit.Chem.rdchem.Mol object at 0x7f870f967c30>
2126	CHEMBL1650435	nM	4.0	N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)cc(=O)[nH]c1=O	7.3979400086720375	<rdkit.Chem.rdchem.Mol object at 0x7f870f967ca0>
2127	CHEMBL1650434	nM	6.0	N#Cc1ccc(F)cc1Cn1c(N2CCC[C@@H](N)C2)ncc(Br)c1=O	7.221848749616356	<rdkit.Chem.rdchem.Mol object at 0x7f870f967d10>
2128	CHEMBL1650433	nM	8.0	N#Cc1ccc(F)cc1Cn1c(N2CCC[C@@H](N)C2)ncc(Cl)c1=O	7.096910013008056	<rdkit.Chem.rdchem.Mol object at 0x7f870f967d80>
2129	CHEMBL1650432	nM	8.0	N#Cc1ccc(F)cc1Cn1c(N2CCC[C@@H](N)C2)ncc(F)c1=O	7.096910013008056	<rdkit.Chem.rdchem.Mol object at 0x7f870f967df0>
2130	CHEMBL1650431	nM	430.0	N#Cc1cc(F)ccc1Cn1c(N2CCC[C@@H](N)C2)ncc(F)c1=O	5.366531544420414	<rdkit.Chem.rdchem.Mol object at 0x7f870f967e60>
2131	CHEMBL1650430	nM	3.0	N#Cc1ccsc1Cn1c(N2CCC[C@@H](N)C2)ncc(Br)c1=O	7.522878745280337	<rdkit.Chem.rdchem.Mol object at 0x7f870f967ed0>
2132	CHEMBL1650429	nM	6.0	N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(/C=C/c2cccnc2)c1=O	7.221848749616356	<rdkit.Chem.rdchem.Mol object at 0x7f870f967f40>
2133	CHEMBL1650428	nM	21.0	N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(/C=C/c2ccc(F)cc2)c1=O	6.6777807052660805	<rdkit.Chem.rdchem.Mol object at 0x7f870f968040>
2134	CHEMBL1650427	nM	22.0	N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(/C=C/c2ccccc2)c1=O	6.657577319177793	<rdkit.Chem.rdchem.Mol object at 0x7f870f9680b0>
